osm_id,name,operator,geojson
4712239780,,,"{""type"":""Point"",""coordinates"":[119.387979097754,29.8982277800938]}"
4703857437,,,"{""type"":""Point"",""coordinates"":[119.698577266625,30.2067899198864]}"
4703857049,,,"{""type"":""Point"",""coordinates"":[119.68167636287,30.2130068687826]}"
4703857050,,,"{""type"":""Point"",""coordinates"":[119.681228732363,30.213249458691]}"
4703857051,,,"{""type"":""Point"",""coordinates"":[119.682188492413,30.2185956779073]}"
4703857053,,,"{""type"":""Point"",""coordinates"":[119.684274739829,30.219392179232]}"
4703857052,,,"{""type"":""Point"",""coordinates"":[119.684832413957,30.2197821605713]}"
4703857325,,,"{""type"":""Point"",""coordinates"":[119.681057243976,30.231116016313]}"
4703857324,,,"{""type"":""Point"",""coordinates"":[119.682001732665,30.2312044968887]}"
4703857055,,,"{""type"":""Point"",""coordinates"":[119.686861708184,30.2203394182453]}"
4703857054,,,"{""type"":""Point"",""coordinates"":[119.687191659388,30.2206704801269]}"
4703857057,,,"{""type"":""Point"",""coordinates"":[119.689522877382,30.2213419928448]}"
4703857056,,,"{""type"":""Point"",""coordinates"":[119.689727783098,30.2216010180835]}"
4703857003,,,"{""type"":""Point"",""coordinates"":[119.69292758214,30.2225805262967]}"
4703857002,,,"{""type"":""Point"",""coordinates"":[119.693003489782,30.222816494802]}"
4703857000,,,"{""type"":""Point"",""coordinates"":[119.695647411326,30.2235080966008]}"
4703857318,,,"{""type"":""Point"",""coordinates"":[119.686846975813,30.2303959832649]}"
4703857317,,,"{""type"":""Point"",""coordinates"":[119.687871594226,30.2304515556918]}"
4703857001,,,"{""type"":""Point"",""coordinates"":[119.696561447127,30.2240324998408]}"
4703857065,,,"{""type"":""Point"",""coordinates"":[119.699190456638,30.2247421784586]}"
4703857066,,,"{""type"":""Point"",""coordinates"":[119.69932457511,30.2249692931633]}"
4703856998,,,"{""type"":""Point"",""coordinates"":[119.701101981731,30.2256056927838]}"
4703856999,,,"{""type"":""Point"",""coordinates"":[119.70151924918,30.2255172071701]}"
4703856996,,,"{""type"":""Point"",""coordinates"":[119.706784185229,30.2272543049194]}"
4703856997,,,"{""type"":""Point"",""coordinates"":[119.707152135169,30.227568888643]}"
4703856994,,,"{""type"":""Point"",""coordinates"":[119.708808808216,30.2279020994688]}"
4703856995,,,"{""type"":""Point"",""coordinates"":[119.708960443836,30.2281445750273]}"
4703856993,,,"{""type"":""Point"",""coordinates"":[119.711255369893,30.2286951879197]}"
4703856992,,,"{""type"":""Point"",""coordinates"":[119.711331277534,30.2289017251716]}"
